"STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","COUNTYFP","STATEFP","n_hhs","n_new_zv","n_new_iv","n_new_sv","n_gained_veh","n_lost_veh"
NA,NA,NA,NA,"250173524002021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,0,0,0,1,0
NA,NA,NA,NA,"250173531011000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0,0,0,0,1
NA,NA,NA,NA,"250173531011010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,0,0,0,1,0
NA,NA,NA,NA,"250173738001004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,0,0,0,1,0
NA,NA,NA,NA,"250173738002007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0,0,0,1,0
NA,NA,NA,NA,"250214001001014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,0,0,1,0
NA,NA,NA,NA,"250214001002000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,0,0,0,1,0
NA,NA,NA,NA,"250214001002001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,0,0,1,0
NA,NA,NA,NA,"250214001003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,0,0,2,0
NA,NA,NA,NA,"250214001003003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,0,0,0,2,0
NA,NA,NA,NA,"250214001003004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,0,0,0,4,0
NA,NA,NA,NA,"250214001003009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,0,0,0,1,0
NA,NA,NA,NA,"250214001004003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0,0,0,1,0
NA,NA,NA,NA,"250214001004017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,0,0,1,0
NA,NA,NA,NA,"250214002001007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,0,0,0,2,0
NA,NA,NA,NA,"250214002002003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0,0,0,1,0
NA,NA,NA,NA,"250214002002004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,0,0,0,1,0
NA,NA,NA,NA,"250214002002005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,0,0,0,1,0
NA,NA,NA,NA,"250214002002012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,0,0,1,0
NA,NA,NA,NA,"250214002002020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,0,0,0,3,0
NA,NA,NA,NA,"250214002003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,0,0,1,0
NA,NA,NA,NA,"250214003002000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,0,0,0,1,0
NA,NA,NA,NA,"250214003003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,0,1,0
NA,NA,NA,NA,"250214003003004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,0,0,0,1,0
NA,NA,NA,NA,"250214003003009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,0,0,0,1,0
NA,NA,NA,NA,"250214004001001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,0,0,0,1,0
NA,NA,NA,NA,"250214004001002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,0,0,0,1,0
NA,NA,NA,NA,"250214004001008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,0,0,0,1,0
NA,NA,NA,NA,"250214004002003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,0,0,0,1,0
NA,NA,NA,NA,"250214004002004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,0,0,0,1,0
NA,NA,NA,NA,"250214004002011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,0,1,0
NA,NA,NA,NA,"250214004003002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,1,0
NA,NA,NA,NA,"250214004003006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,0,0,1,0
NA,NA,NA,NA,"250214004003011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,1,0
NA,NA,NA,NA,"250214005001000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,0,0,0,3,0
NA,NA,NA,NA,"250214005001002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,0,0,0,2,0
NA,NA,NA,NA,"250214005001004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,0,0,0,1,0
NA,NA,NA,NA,"250214005001005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,0,0,1,0
NA,NA,NA,NA,"250214005001006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,0,0,2,0
NA,NA,NA,NA,"250214005003009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,0,0,0,1,0
NA,NA,NA,NA,"250214006001004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,0,0,0,1,0
NA,NA,NA,NA,"250214006002003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,0,0,0,1,0
NA,NA,NA,NA,"250214006002005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,0,0,0,1,0
NA,NA,NA,NA,"250214006002006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0
NA,NA,NA,NA,"250214006002009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,0,0,0,1,0
NA,NA,NA,NA,"250214006002010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,0,0,1,0
NA,NA,NA,NA,"250214006002022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,0,0,0,2,0
NA,NA,NA,NA,"250214006002028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,0,0,1,0
NA,NA,NA,NA,"250214007001000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,0,0,0,1,0
NA,NA,NA,NA,"250214007002003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,0,0,0,1,0
NA,NA,NA,NA,"250214008001001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,0,0,0,1,0
NA,NA,NA,NA,"250214008001002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0,0,0,3,0
NA,NA,NA,NA,"250214008002002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0,0,0,1,0
NA,NA,NA,NA,"250214008002005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,0,0,0,2,0
NA,NA,NA,NA,"250214008002009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,0,0,0,2,0
NA,NA,NA,NA,"250214008003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,0,0,0,1,0
NA,NA,NA,NA,"250214008003004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0,0,0,1,0
NA,NA,NA,NA,"250214008003008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,0,0,0,2,0
NA,NA,NA,NA,"250214009001005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,0,0,0,2,0
NA,NA,NA,NA,"250214009002002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,0,0,0,1,0
NA,NA,NA,NA,"250214009003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,0,3,0
NA,NA,NA,NA,"250214009003002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,0,0,1,0
NA,NA,NA,NA,"250214009003012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,0,0,0,2,0
NA,NA,NA,NA,"250214009003013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,3,0
NA,NA,NA,NA,"250214010002004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,0,1,0
NA,NA,NA,NA,"250214010003012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,0,0,1,0
NA,NA,NA,NA,"250214011001006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,0,0,0,1,0
NA,NA,NA,NA,"250250004012001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,0,0,0,1,0
NA,NA,NA,NA,"250250004014002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,0,0,0,1,0
NA,NA,NA,NA,"250250005021003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,1,0
NA,NA,NA,NA,"250250005023002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,0,0,0,1,0
NA,NA,NA,NA,"250250005023005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,0,0,0,1,0
NA,NA,NA,NA,"250250005032008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,0,0,0,3,0
NA,NA,NA,NA,"250250005042004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,0,0,0,2,0
NA,NA,NA,NA,"250250005043005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,0,0,0,2,0
NA,NA,NA,NA,"250250005044003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0,0,0,1,0
NA,NA,NA,NA,"250250007012001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,0,0,0,1,0
NA,NA,NA,NA,"250250007031010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,0,0,0,1,0
NA,NA,NA,NA,"250250007031011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,0,0,0,1,0
NA,NA,NA,NA,"250250007043000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,0,0,0,1,0
NA,NA,NA,NA,"250250007044001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,0,0,0,1,0
NA,NA,NA,NA,"250250008025004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,0,0,0,1,0
NA,NA,NA,NA,"250250008025006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,0,0,0,1,0
NA,NA,NA,NA,"250250101031007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,0,0,0,4,0
NA,NA,NA,NA,"250250101033000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,0,0,0,1,0
NA,NA,NA,NA,"250250101033012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,0,3,0
NA,NA,NA,NA,"250250101041000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,0,0,0,2,0
NA,NA,NA,NA,"250250101041001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,0,0,0,2,0
NA,NA,NA,NA,"250250101041002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,0,0,0,1,0
NA,NA,NA,NA,"250250101041006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,0,0,0,4,0
NA,NA,NA,NA,"250250101042005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,0,0,0,2,0
NA,NA,NA,NA,"250250101042010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,0,0,0,1,0
NA,NA,NA,NA,"250250101042011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,0,0,3,0
NA,NA,NA,NA,"250250101042013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,0,0,0,4,0
NA,NA,NA,NA,"250250101043008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,0,0,0,6,0
NA,NA,NA,NA,"250250101043017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,0,0,0,6,0
NA,NA,NA,NA,"250250101043019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,0,0,0,3,0
NA,NA,NA,NA,"250250102031007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,0,0,0,7,0
NA,NA,NA,NA,"250250102031010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,0,0,0,3,0
NA,NA,NA,NA,"250250102032001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,0,0,0,3,0
NA,NA,NA,NA,"250250102032002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,0,0,0,9,0
NA,NA,NA,NA,"250250102032004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,0,0,0,1,0
NA,NA,NA,NA,"250250102032005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,0,0,0,1,0
NA,NA,NA,NA,"250250102032006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,0,0,0,2,0
NA,NA,NA,NA,"250250102032008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,0,0,0,1,0
NA,NA,NA,NA,"250250102034002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,0,0,0,1,0
NA,NA,NA,NA,"250250102034003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,0,0,0,5,0
NA,NA,NA,NA,"250250102041001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,0,1,0
NA,NA,NA,NA,"250250102041002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,0,1,0
NA,NA,NA,NA,"250250102041003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,0,0,0,2,0
NA,NA,NA,NA,"250250102041004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,0,0,0,2,0
